                    _______________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________
                   | Nomination_Chirac1.txt          | Nomination_Chirac2.txt          | Nomination_Giscard dEstaing.txt | Nomination_Hollande.txt         | Nomination_Macron.txt           | Nomination_Mitterrand1.txt      | Nomination_Mitterrand2.txt      | Nomination_Sarkozy.txt          |
| mai              | 0.12493873660829993             | 0                               | 0.12493873660829993             | 0.12493873660829993             | 0.3748162098248998              | 0                               | 0.24987747321659987             | 0.24987747321659987             |
|__________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|
| peuple           | 0.0                             | 0.0                             | 0.0                             | 0.0                             | 0.0                             | 0.0                             | 0.0                             | 0.0                             |
|__________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|
| français         | 0.2899597348884337              | 0.5219275227991806              | 0                               | 0.23196778791074693             | 0.9858630986206744              | 0.05799194697768673             | 0.1739758409330602              | 0.6379114167545541              |
|__________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|
| exprimé          | 0.9030899869919435              | 0                               | 0                               | 0                               | 0                               | 0                               | 0                               | 0                               |
|__________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|
| sa               | 0.3748162098248998              | 0.3748162098248998              | 0.3748162098248998              | 0.3748162098248998              | 0.3748162098248998              | 0                               | 0                               | 0.6246936830414996              |
|__________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|
| volonté          | 0.11598389395537347             | 0.05799194697768673             | 0                               | 0.11598389395537347             | 0.11598389395537347             | 0.11598389395537347             | 0.05799194697768673             | 0.11598389395537347             |
|__________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|
| changement       | 0.4082399653118496              | 0                               | 0.8164799306236992              | 0                               | 0.2041199826559248              | 0.4082399653118496              | 0                               | 0.2041199826559248              |
|__________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|
| suis             | 0.05799194697768673             | 0.05799194697768673             | 0                               | 0.11598389395537347             | 0.05799194697768673             | 0.05799194697768673             | 0.05799194697768673             | 0.05799194697768673             |
|__________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|
| décidé           | 0.9030899869919435              | 0                               | 0                               | 0                               | 0                               | 0                               | 0                               | 0                               |
|__________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|
| à                | 0.6379114167545541              | 1.2178308865314214              | 0                               | 0.5799194697768674              | 1.2178308865314214              | 1.0438550455983613              | 0.8118872576876143              | 1.7977503563082886              |
|__________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|
| placer           | 0.9030899869919435              | 0                               | 0                               | 0                               | 0                               | 0                               | 0                               | 0                               |
|__________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|
| septennat        | 1.2041199826559248              | 0                               | 0                               | 0                               | 0                               | 0                               | 0.6020599913279624              | 0                               |
|__________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|
| commence         | 1.806179973983887               | 0                               | 0                               | 0                               | 0                               | 0                               | 0                               | 0                               |
|__________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|
| sous             | 0.6020599913279624              | 0.6020599913279624              | 0                               | 0                               | 0                               | 0                               | 0                               | 0                               |
|__________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|
| signe            | 0.9030899869919435              | 0                               | 0                               | 0                               | 0                               | 0                               | 0                               | 0                               |
|__________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|
| dignité          | 0.3010299956639812              | 0                               | 0                               | 0.6020599913279624              | 0.3010299956639812              | 0                               | 0                               | 0.6020599913279624              |
|__________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|
| simplicité       | 0.6020599913279624              | 0                               | 0                               | 0.6020599913279624              | 0                               | 0                               | 0                               | 0                               |
|__________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|
| fidélité         | 0.9030899869919435              | 0                               | 0                               | 0                               | 0                               | 0                               | 0                               | 0                               |
|__________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|_________________________________|
| aux              | 0.0                             | 0.0                             | 0.0                             | 0.0                             | 0.0                             | 0.0                             | 0.0                             | 0.0                             |
